       dd/mm/yy     HR:MIN:SEC    dwnl[Mbits]     upl[Mbits]       ping[ms]
     27/01/2021       23:40:03        116.087        163.845          3.299
     27/01/2021       23:40:21        121.208        172.103          2.968
     27/01/2021       23:40:39        119.465        164.708          2.865
     27/01/2021       23:40:58        120.357        169.931          3.136
     27/01/2021       23:41:16        121.825        168.983          2.927
     27/01/2021       23:41:34        122.415        161.385          2.901
     27/01/2021       23:41:52          120.1        173.153          3.079
     27/01/2021       23:42:11        116.629        164.856          3.083
     27/01/2021       23:42:29        119.604         174.62          3.065
     27/01/2021       23:42:47        114.632        162.294          3.544
     27/01/2021       23:43:06        118.338        163.636          3.217
     27/01/2021       23:43:24        118.295        159.256          3.088
     27/01/2021       23:43:43        119.161        164.718          3.181
     27/01/2021       23:44:01        120.381        168.918          2.865
     27/01/2021       23:44:19        120.222        168.612          3.026
     27/01/2021       23:44:38        122.909        173.707          2.924
     27/01/2021       23:44:56        123.963        166.104          3.505
     27/01/2021       23:45:14         113.81        167.411          3.087
     27/01/2021       23:45:32        122.568        168.642          3.232
     27/01/2021       23:45:51        121.402        164.815          2.829
     27/01/2021       23:46:09        120.835        164.515          3.079
     27/01/2021       23:46:27        115.876        164.174           4.33
     27/01/2021       23:46:46        120.759        177.088          3.137
     27/01/2021       23:47:04        121.706        168.808          3.335
     27/01/2021       23:47:22         121.03        171.328          2.998
     27/01/2021       23:47:40        123.767         169.31           3.02
     27/01/2021       23:47:58        122.434        171.455          2.991
     27/01/2021       23:48:17        116.597        167.481          3.331
     27/01/2021       23:48:35        118.067        167.962          3.131
     27/01/2021       23:48:53         121.17        172.114          2.858
     27/01/2021       23:49:11        118.713         169.46          3.307
     27/01/2021       23:49:30        107.837        168.299          3.349
     27/01/2021       23:49:49        121.789        166.553          3.009
     27/01/2021       23:50:07        118.097         168.53          3.137
     27/01/2021       23:50:25        118.246        167.262          3.192
     27/01/2021       23:50:43        117.789          171.8          3.461
     27/01/2021       23:51:02        121.186         175.71          3.413
     27/01/2021       23:51:20        118.746        163.325          3.969
     27/01/2021       23:51:38         122.63        178.531          3.666
     27/01/2021       23:51:56        123.796        166.525          2.858
     27/01/2021       23:52:14        118.714        165.189          3.379
     27/01/2021       23:52:33        121.126        166.475          2.901
     27/01/2021       23:52:51        117.017         165.58          3.946
     27/01/2021       23:53:10         118.73        176.132          2.973
     27/01/2021       23:53:28        116.414        161.596          3.948
     27/01/2021       23:53:46        120.528        156.051          3.333
     27/01/2021       23:54:05        117.538          158.6          3.315
     27/01/2021       23:54:24        118.527        116.124          3.375
     27/01/2021       23:54:45        114.034        167.597          3.333
     27/01/2021       23:55:03        125.204          165.3          3.156
     27/01/2021       23:55:21        122.084        149.239          3.009
     27/01/2021       23:55:41        124.131        167.554           3.36
     27/01/2021       23:55:59        123.589        183.193          3.035
     27/01/2021       23:56:17        122.943        177.834          3.325
     27/01/2021       23:56:35        122.371        172.837          3.408
     27/01/2021       23:56:53        125.048        184.282          3.261
     27/01/2021       23:57:10        123.743        177.194          3.298
     27/01/2021       23:57:28        125.895        181.906          3.236
     27/01/2021       23:57:46        124.254         172.22          3.384
     27/01/2021       23:58:04        124.142        170.582          3.311
     27/01/2021       23:58:22         123.34        171.568          3.256
     27/01/2021       23:58:40          120.2        179.951          3.338
     27/01/2021       23:58:58        123.847        181.168          2.822
     27/01/2021       23:59:16        122.959        179.214          3.275
     27/01/2021       23:59:34        122.385        179.639          3.103
     27/01/2021       23:59:51         122.07        177.824          3.808
     28/01/2021       00:00:09         121.89        183.504          3.394
     28/01/2021       00:00:27        120.891          172.2          3.653
     28/01/2021       00:00:45         125.03        178.292          3.113
     28/01/2021       00:01:03        124.012         183.78          2.865
     28/01/2021       00:01:21          124.5        184.337          3.083
     28/01/2021       00:01:38        125.477        180.448          2.859
     28/01/2021       00:01:56        123.538        181.021          2.991
     28/01/2021       00:02:14        123.281        179.179          3.132
     28/01/2021       00:02:32        125.138        183.561          3.253
     28/01/2021       00:02:49        122.642        171.909          3.191
     28/01/2021       00:03:07        121.127        176.063          3.617
     28/01/2021       00:03:25        123.384        180.957          3.158
     28/01/2021       00:03:43        124.036        183.066          3.225
     28/01/2021       00:04:01        123.737        184.932          2.988
     28/01/2021       00:04:18        125.761        179.612          2.915
     28/01/2021       00:04:36        122.409        169.631          3.215
     28/01/2021       00:04:54        122.563        177.925          3.262
     28/01/2021       00:05:12        117.907        173.262          3.097
     28/01/2021       00:05:31        125.754        178.901          2.856
     28/01/2021       00:05:48        123.831        180.123          3.124
     28/01/2021       00:06:06        125.448         179.78          3.158
     28/01/2021       00:06:24        122.152        179.203          3.345
     28/01/2021       00:06:42        122.998        183.812          3.249
     28/01/2021       00:06:59        121.386        164.159          3.027
     28/01/2021       00:07:18         122.87        179.803          3.298
     28/01/2021       00:07:36         124.79        179.058          3.344
     28/01/2021       00:07:53        124.565        185.153          3.278
     28/01/2021       00:08:11        124.799        171.512          2.962
     28/01/2021       00:08:29        124.984        157.048          3.452
     28/01/2021       00:08:48        122.165        168.621          3.424
     28/01/2021       00:09:06        120.999        164.173          2.924
     28/01/2021       00:09:24        123.904        178.482          2.847
     28/01/2021       00:09:43        124.333        178.501           3.31
     28/01/2021       00:10:00        122.249        147.131          3.319
     28/01/2021       00:10:20         120.43        177.844          3.068
     28/01/2021       00:10:38        124.872         181.98          2.905
     28/01/2021       00:10:55        121.632        166.068          2.911
     28/01/2021       00:11:14        123.735        174.608           2.95
     28/01/2021       00:11:32        125.617        178.817          2.889
     28/01/2021       00:11:50        112.164        175.041          3.264
     28/01/2021       00:12:07        124.108        172.111          3.415
     28/01/2021       00:12:26        122.873        182.033          3.009
     28/01/2021       00:12:43        124.735        182.499          3.292
     28/01/2021       00:13:01        124.991        181.887          2.988
     28/01/2021       00:13:19        122.963         168.43          3.725
     28/01/2021       00:13:37          0.012            0.0          3.633
     28/01/2021       12:06:06           2.35          3.858         40.658
     28/01/2021       12:06:35          6.781           3.44          9.477
     28/01/2021       12:06:58          4.057          4.561         30.636
     28/01/2021       12:07:24          9.676          4.045          5.056
     28/01/2021       12:07:48          4.326         10.916          4.675
     28/01/2021       12:08:12         21.305          6.356          3.759
     28/01/2021       12:08:34          5.568         11.351         15.779
     28/01/2021       12:08:57         19.601         13.317          4.628
     28/01/2021       12:09:19         56.106         84.186          7.654
     28/01/2021       12:09:41         70.511         80.635          3.538
     28/01/2021       12:10:03         53.136         80.058          4.202
     28/01/2021       12:10:24         78.055         81.713          9.052
     28/01/2021       12:10:46         38.419         71.293          4.681
     28/01/2021       12:11:07         54.596         61.192          4.149
     28/01/2021       12:11:29         67.323         70.115          4.278
     28/01/2021       12:11:51           81.6        104.304          10.37
     28/01/2021       12:12:13         70.477        116.524          4.126
     28/01/2021       12:12:34         83.674        119.006          3.866
     28/01/2021       12:12:55         56.676         90.978          4.392
     28/01/2021       12:13:17         38.398        105.748          3.945
     28/01/2021       12:13:39         59.401         86.124          5.066
     28/01/2021       12:14:01         47.323         88.492          4.637
     28/01/2021       12:14:22         54.076         92.873          4.158
     28/01/2021       12:14:44         44.045         83.717          5.177
     28/01/2021       12:15:06         55.015         92.442          4.259
     28/01/2021       12:15:27         74.954        111.663          4.255
     28/01/2021       12:15:49         92.317        108.155          3.993
     28/01/2021       12:16:10         85.273        123.216          4.055
     28/01/2021       12:16:32         96.878        115.118          4.169
     28/01/2021       12:16:53         72.375          38.29          4.345
     28/01/2021       12:17:14         50.444         85.814          5.149
     28/01/2021       12:17:36         64.746         51.829          5.168
     28/01/2021       12:17:57         30.116         26.669           5.68
     28/01/2021       12:18:19         27.575         14.967          7.875
     28/01/2021       12:18:43          30.21          10.64         10.563
     28/01/2021       12:19:07         27.159         10.415          5.203
     28/01/2021       12:19:31         32.081         10.282          9.474
     28/01/2021       12:19:56         29.663         18.882           5.41
